image,x,y,w,h,contrast,area_px,aspect,polarity,evidence_class,matches_coord,agrees,disagrees,near_edge,persistence,compactness,bg_std,smooth,interest,score,verdict,confidence,flags,recommendation,path,baseline_fp,fdr_q,solar_elevation_deg,solar_azimuth_deg,pixel_scale_m,size_m,shadow_alignment,inferred_height_m,spacecraft_altitude_km
ESP_093487_1780_MIRB.browse_enh.png,3852,6056,12,36,2.14,432,3.0,dark,3,2,2,0,False,1.0,0.701,45.16,no,60.6,100.0,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\mars\hirise\ESP_093487_1780_MIRB.browse_enh.png,,0.150,,,,,,,
ESP_093487_1780_MIRB.browse_enh.png,1564,7124,12,36,2.13,432,3.0,dark,3,2,2,0,False,1.0,0.848,33.58,no,60.5,100.0,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\mars\hirise\ESP_093487_1780_MIRB.browse_enh.png,,0.152,,,,,,,
ESP_093487_1780_MRGB.browse_enh.png,3852,6056,12,36,2.14,432,3.0,dark,3,2,2,0,False,1.0,0.701,45.16,no,60.6,100.0,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\mars\hirise\ESP_093487_1780_MRGB.browse_enh.png,,0.150,,,,,,,
ESP_093487_1780_MRGB.browse_enh.png,1564,7124,12,36,2.14,432,3.0,dark,3,2,2,0,False,1.0,0.848,33.53,no,60.6,100.0,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\mars\hirise\ESP_093487_1780_MRGB.browse_enh.png,,0.150,,,,,,,
ESP_093487_1780_RED.browse_enh.png,2808,4040,12,40,2.26,480,3.33,dark,3,2,2,0,False,1.0,1.0,54.49,no,61.1,100.0,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\mars\hirise\ESP_093487_1780_RED.browse_enh.png,,0.128,,,,,,,
ESP_093487_1780_RED.browse_enh.png,2980,4192,8,28,2.64,224,3.5,dark,3,2,2,0,False,1.0,1.0,38.98,no,64.0,100.0,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\mars\hirise\ESP_093487_1780_RED.browse_enh.png,,0.070,,,,,,,
ESP_093490_1440_RED.browse_enh.png,2648,1004,12,44,2.2,528,3.67,bright,3,2,2,0,False,1.0,0.851,35.43,no,60.1,100.0,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\mars\hirise\ESP_093490_1440_RED.browse_enh.png,,0.138,,,,,,,
ESP_093491_1770_MIRB.browse_enh.png,940,2392,20,20,4.32,400,1.0,bright,3,2,2,0,False,1.0,0.654,13.65,no,65.2,100.0,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\mars\hirise\ESP_093491_1770_MIRB.browse_enh.png,,0.001,,,,,,,
ESP_093491_1770_MRGB.browse_enh.png,940,2392,20,20,4.32,400,1.0,bright,3,2,2,0,False,1.0,0.654,13.65,no,65.2,100.0,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\mars\hirise\ESP_093491_1770_MRGB.browse_enh.png,,0.001,,,,,,,
ESP_093491_1770_RED.browse_enh.png,940,2392,20,20,4.64,400,1.0,bright,3,2,2,0,False,1.0,1.0,14.03,no,65.2,100.0,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\mars\hirise\ESP_093491_1770_RED.browse_enh.png,,0.000,,,,,,,
ESP_093494_2015_MIRB.browse_enh.png,804,3628,12,44,3.86,528,3.67,dark,3,2,2,0,False,1.0,0.503,24.06,no,74.6,100.0,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\mars\hirise\ESP_093494_2015_MIRB.browse_enh.png,,0.004,,,,,,,
ESP_093494_2015_MIRB.browse_enh.png,2384,4088,52,16,2.71,832,3.25,dark,3,2,2,0,False,1.0,0.377,37.38,no,65.4,100.0,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\mars\hirise\ESP_093494_2015_MIRB.browse_enh.png,,0.062,,,,,,,
ESP_093494_2015_MIRB.browse_enh.png,2200,5820,40,12,2.53,480,3.33,dark,3,2,2,0,False,1.0,1.0,26.21,no,63.5,100.0,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\mars\hirise\ESP_093494_2015_MIRB.browse_enh.png,,0.085,,,,,,,
ESP_093494_2015_MIRB.browse_enh.png,1380,6824,40,12,2.77,480,3.33,dark,3,2,2,0,False,0.997,1.0,18.82,no,65.6,100.0,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\mars\hirise\ESP_093494_2015_MIRB.browse_enh.png,,0.056,,,,,,,
ESP_093494_2015_MRGB.browse_enh.png,804,3628,12,44,3.87,528,3.67,dark,3,2,2,0,False,1.0,0.503,24.05,no,74.7,100.0,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\mars\hirise\ESP_093494_2015_MRGB.browse_enh.png,,0.004,,,,,,,
ESP_093494_2015_MRGB.browse_enh.png,2384,4088,52,16,2.71,832,3.25,dark,3,2,2,0,False,1.0,0.367,37.38,no,65.4,100.0,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\mars\hirise\ESP_093494_2015_MRGB.browse_enh.png,,0.062,,,,,,,
ESP_093494_2015_MRGB.browse_enh.png,2200,5820,40,12,2.7,480,3.33,dark,3,2,2,0,False,1.0,1.0,23.61,no,65.0,100.0,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\mars\hirise\ESP_093494_2015_MRGB.browse_enh.png,,0.063,,,,,,,
ESP_093494_2015_MRGB.browse_enh.png,1380,6824,40,12,2.77,480,3.33,dark,3,2,2,0,False,0.997,1.0,18.77,no,65.6,100.0,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\mars\hirise\ESP_093494_2015_MRGB.browse_enh.png,,0.056,,,,,,,
ESP_093494_2015_RED.browse_enh.png,804,3632,12,40,3.86,480,3.33,dark,3,2,2,0,False,1.0,0.935,25.26,no,75.1,100.0,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\mars\hirise\ESP_093494_2015_RED.browse_enh.png,,0.004,,,,,,,
ESP_093494_2015_RED.browse_enh.png,2384,4088,52,16,2.72,832,3.25,dark,3,2,2,0,False,1.0,0.543,38.23,no,65.5,100.0,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\mars\hirise\ESP_093494_2015_RED.browse_enh.png,,0.061,,,,,,,
ESP_093494_2015_RED.browse_enh.png,2200,5820,44,12,2.52,528,3.67,dark,3,2,2,0,False,1.0,1.0,27.04,no,62.9,100.0,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\mars\hirise\ESP_093494_2015_RED.browse_enh.png,,0.086,,,,,,,
ESP_093494_2015_RED.browse_enh.png,1380,6824,40,12,2.68,480,3.33,dark,3,2,2,0,False,1.0,1.0,19.81,no,64.8,100.0,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\mars\hirise\ESP_093494_2015_RED.browse_enh.png,,0.065,,,,,,,
ESP_093494_2015_RED.browse_enh.png,2060,7372,52,16,2.67,832,3.25,dark,3,2,2,0,False,1.0,0.517,24.66,no,65.0,100.0,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\mars\hirise\ESP_093494_2015_RED.browse_enh.png,,0.066,,,,,,,
ESP_093487_1780_RED.browse_enh.png,1564,7124,12,36,2.06,432,3.0,dark,3,2,2,0,False,1.0,0.705,38.68,no,59.9,99.9,TERRAIN,high,,Real surface feature (seen across band variants) but consistent with ordinary geology/terrain by shape or scale. Not a lead unless an independent comparison changes the picture.,data/processed\mars\hirise\ESP_093487_1780_RED.browse_enh.png,,0.165,,,,,,,
ESP_093494_2015_MIRB.browse_enh.png,2564,4044,28,12,3.61,336,2.33,dark,3,2,2,0,False,1.0,1.0,24.2,no,59.5,99.5,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\mars\hirise\ESP_093494_2015_MIRB.browse_enh.png,,0.008,,,,,,,
ESP_093494_2015_MRGB.browse_enh.png,2564,4044,28,12,3.61,336,2.33,dark,3,2,2,0,False,1.0,1.0,24.18,no,59.5,99.5,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\mars\hirise\ESP_093494_2015_MRGB.browse_enh.png,,0.008,,,,,,,
