image,x,y,w,h,contrast,area_px,aspect,polarity,evidence_class,matches_coord,agrees,disagrees,near_edge,persistence,compactness,bg_std,smooth,interest,score,verdict,confidence,flags,recommendation,path,baseline_fp,fdr_q,solar_elevation_deg,solar_azimuth_deg,pixel_scale_m,size_m,shadow_alignment,inferred_height_m,spacecraft_altitude_km
ESP_093491_1770_MIRB.browse_enh.png,940,2392,20,20,4.32,400,1.0,bright,3,2,2,0,False,1.0,0.654,13.65,no,65.2,100.0,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\mars\hirise\ESP_093491_1770_MIRB.browse_enh.png,,0.001,,,,,,,
ESP_093491_1770_MRGB.browse_enh.png,940,2392,20,20,4.32,400,1.0,bright,3,2,2,0,False,1.0,0.654,13.65,no,65.2,100.0,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\mars\hirise\ESP_093491_1770_MRGB.browse_enh.png,,0.001,,,,,,,
ESP_093491_1770_RED.browse_enh.png,940,2392,20,20,4.64,400,1.0,bright,3,2,2,0,False,1.0,1.0,14.03,no,65.2,100.0,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\mars\hirise\ESP_093491_1770_RED.browse_enh.png,,0.000,,,,,,,
ESP_093494_2015_MIRB.browse_enh.png,2564,4044,28,12,3.61,336,2.33,dark,3,2,2,0,False,1.0,1.0,24.2,no,59.5,99.5,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\mars\hirise\ESP_093494_2015_MIRB.browse_enh.png,,0.008,,,,,,,
ESP_093494_2015_MRGB.browse_enh.png,2564,4044,28,12,3.61,336,2.33,dark,3,2,2,0,False,1.0,1.0,24.18,no,59.5,99.5,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\mars\hirise\ESP_093494_2015_MRGB.browse_enh.png,,0.008,,,,,,,
ESP_093494_2015_MIRB.browse_enh.png,2044,3732,20,12,3.35,240,1.67,dark,3,2,2,0,False,1.0,1.0,24.14,no,58.3,98.3,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\mars\hirise\ESP_093494_2015_MIRB.browse_enh.png,,0.016,,,,,,,
ESP_093494_2015_MRGB.browse_enh.png,2044,3732,20,12,3.35,240,1.67,dark,3,2,2,0,False,1.0,1.0,24.18,no,58.3,98.3,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\mars\hirise\ESP_093494_2015_MRGB.browse_enh.png,,0.016,,,,,,,
ESP_093494_2015_RED.browse_enh.png,2044,3732,20,12,3.35,240,1.67,dark,3,2,2,0,False,1.0,1.0,25.04,no,58.3,98.3,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\mars\hirise\ESP_093494_2015_RED.browse_enh.png,,0.016,,,,,,,
ESP_093493_1390_MIRB.browse_enh.png,2896,684,16,16,3.19,256,1.0,dark,3,2,2,0,False,1.0,1.0,38.04,no,58.0,98.0,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\mars\hirise\ESP_093493_1390_MIRB.browse_enh.png,,0.023,,,,,,,
ESP_093493_1390_MRGB.browse_enh.png,2896,684,16,16,3.19,256,1.0,dark,3,2,2,0,False,1.0,1.0,38.04,no,58.0,98.0,CONFIRMED-LEAD,high,small_blob,"Real feature confirmed at the same pixels in the corresponding band variant(s) of one acquisition. Fetch the EDR original, geolocate on Trek, and check for an independent pass at a different lighting before writing a finding.",data/processed\mars\hirise\ESP_093493_1390_MRGB.browse_enh.png,,0.023,,,,,,,
